time,us,sy,id
"01/08/14 17:04:04",4,1,95
"01/08/14 17:04:24",18,2,80
"01/08/14 17:04:44",16,2,82
"01/08/14 17:05:04",18,2,80
"01/08/14 17:05:24",24,1,76
"01/08/14 17:05:44",42,2,56
"01/08/14 17:06:04",7,1,92
"01/08/14 17:06:24",4,1,95
"01/08/14 17:06:44",17,2,81
"01/08/14 17:07:04",34,3,63
"01/08/14 17:07:24",16,2,82
"01/08/14 17:07:44",39,3,58
"01/08/14 17:08:04",35,2,63
"01/08/14 17:08:24",94,6,0
"01/08/14 17:08:44",95,5,0
"01/08/14 17:09:05",95,5,0
"01/08/14 17:09:25",89,4,7
"01/08/14 17:09:45",36,1,62
"01/08/14 17:10:05",36,1,63
"01/08/14 17:10:25",10,1,89
"01/08/14 17:10:45",24,1,75
"01/08/14 17:11:05",38,1,61
"01/08/14 17:11:25",35,2,64
"01/08/14 17:11:45",2,1,97
"01/08/14 17:12:05",1,0,99
"01/08/14 17:12:25",20,1,79
"01/08/14 17:12:45",35,1,64
"01/08/14 17:13:05",12,1,87
"01/08/14 17:13:25",2,1,98
"01/08/14 17:13:45",12,1,87
"01/08/14 17:14:06",31,1,68
"01/08/14 17:14:26",45,1,54
"01/08/14 17:14:46",25,1,74
"01/08/14 17:15:06",21,1,78
"01/08/14 17:15:26",6,1,93
"01/08/14 17:15:46",34,1,64
"01/08/14 17:16:06",1,0,98
"01/08/14 17:16:26",12,1,86
"01/08/14 17:16:46",39,1,60
"01/08/14 17:17:06",1,0,98
"01/08/14 17:17:26",25,2,74
"01/08/14 17:17:46",22,1,77
"01/08/14 17:18:06",36,1,63
"01/08/14 17:18:26",47,1,52
"01/08/14 17:18:46",5,1,94
"01/08/14 17:19:06",27,3,70
"01/08/14 17:19:26",80,5,15
"01/08/14 17:19:46",30,5,65
"01/08/14 17:20:06",39,1,60
"01/08/14 17:20:26",37,1,62
"01/08/14 17:20:46",17,1,82
"01/08/14 17:21:06",11,1,88
"01/08/14 17:21:26",13,1,85
"01/08/14 17:21:46",5,1,94
"01/08/14 17:22:06",20,2,78
"01/08/14 17:22:26",4,1,95
"01/08/14 17:22:46",6,1,93
"01/08/14 17:23:06",6,1,93
"01/08/14 17:23:26",6,1,93
"01/08/14 17:23:46",6,1,93
"01/08/14 17:24:06",6,1,94
"01/08/14 17:24:26",5,1,94
"01/08/14 17:24:46",6,1,93
"01/08/14 17:25:07",6,1,93
"01/08/14 17:25:27",6,1,93
"01/08/14 17:25:47",6,1,93
"01/08/14 17:26:07",6,1,93
"01/08/14 17:26:27",6,1,93
"01/08/14 17:26:47",6,1,93
"01/08/14 17:27:07",6,1,93
"01/08/14 17:27:27",6,1,93
"01/08/14 17:27:47",6,1,93
"01/08/14 17:28:07",6,1,93
"01/08/14 17:28:27",7,1,92
"01/08/14 17:28:47",6,1,93
"01/08/14 17:29:07",9,4,87
"01/08/14 17:29:27",7,1,92
"01/08/14 17:29:47",14,1,85
"01/08/14 17:30:07",64,4,32
"01/08/14 17:30:28",27,2,71
"01/08/14 17:30:49",7,1,92
"01/08/14 17:31:09",6,1,93
"01/08/14 17:31:29",7,1,92
"01/08/14 17:31:49",6,1,93
"01/08/14 17:32:09",7,1,93
"01/08/14 17:32:29",6,1,93
"01/08/14 17:32:49",7,1,92
"01/08/14 17:33:09",6,1,93
"01/08/14 17:33:29",7,1,92
"01/08/14 17:33:49",7,1,92
"01/08/14 17:34:09",8,1,92
"01/08/14 17:34:29",7,1,92
"01/08/14 17:34:49",7,1,92
"01/08/14 17:35:09",7,1,92
"01/08/14 17:35:29",7,1,92
"01/08/14 17:35:49",7,1,92
"01/08/14 17:36:09",7,1,92
"01/08/14 17:36:29",7,1,92
"01/08/14 17:36:50",7,1,92
"01/08/14 17:37:10",90,2,7
"01/08/14 17:37:30",90,2,8
"01/08/14 17:37:50",90,2,8
"01/08/14 17:38:10",91,2,7
"01/08/14 17:38:30",14,2,84
"01/08/14 17:38:50",3,1,96
"01/08/14 17:39:10",8,1,91
"01/08/14 17:39:30",5,1,94
"01/08/14 17:39:50",7,2,91
"01/08/14 17:40:10",30,3,67
"01/08/14 17:40:30",59,6,35
"01/08/14 17:40:50",36,4,60
"01/08/14 17:41:10",34,3,64
"01/08/14 17:41:30",30,3,67
"01/08/14 17:41:50",30,3,67
"01/08/14 17:42:10",31,3,66
"01/08/14 17:42:30",27,6,67
"01/08/14 17:42:50",27,2,71
"01/08/14 17:43:10",27,2,70
"01/08/14 17:43:30",28,2,70
"01/08/14 17:43:50",30,3,67
"01/08/14 17:44:10",29,3,68
"01/08/14 17:44:30",30,3,67
"01/08/14 17:44:50",29,3,68
"01/08/14 17:45:10",30,2,68
"01/08/14 17:45:30",30,3,67
"01/08/14 17:45:50",31,3,66
"01/08/14 17:46:10",30,2,67
"01/08/14 17:46:30",31,3,66
"01/08/14 17:46:50",29,2,68
"01/08/14 17:47:11",31,3,66
"01/08/14 17:47:31",29,2,68
"01/08/14 17:47:51",31,3,67
"01/08/14 17:48:11",32,2,66
"01/08/14 17:48:31",33,2,65
"01/08/14 17:48:51",14,5,82
"01/08/14 17:49:11",3,1,97
